Country Name,Regiona,CO2 emissions (kg per PPP $ of GDP),CO2 emissions (metric tons per capita),"Foreign direct investment, net inflows (% of GDP)",GDP growth (annual %),"Industry, value added (% of GDP)","Population, total",Research and development expenditure (% of GDP),Urban population (% of total population)
Cote d'Ivoire,Sub-Saharan Africa,4,24,69,248,1218,780481568,0,2337
Croatia,Europe & Central Asia,7,121,87,46,604,269894125,17,2954
Cyprus,Europe & Central Asia,12,305,1638,209,975,50833484,8,3587
Czech Republic,Europe & Central Asia,18,331,127,55,942,623138663,32,4356
Denmark,Europe & Central Asia,9,592,71,141,1254,318055634,58,5097
Djibouti,Middle East & North Africa,1,40,155,43,107,31990998,,4348
Dominica,Latin America & Caribbean,8,75,232,85,570,4300499,,3420
Dominican Republic,Latin America & Caribbean,7,84,130,306,1591,433874884,,3440
Ecuador,Latin America & Caribbean,8,92,65,215,1771,640197933,3,3182
"Egypt, Arab Rep.",Middle East & North Africa,8,86,107,311,1804,3554937692,8,2594
El Salvador,Latin America & Caribbean,5,40,71,109,1394,307372284,1,3182
Equatorial Guinea,Sub-Saharan Africa,15,175,676,547,1020,33998165,,2583
Eritrea,Middle East & North Africa,4,6,54,72,334,102122383,,1005
Estonia,Europe & Central Asia,20,378,191,101,650,85058604,25,4134
Eswatini,Sub-Saharan Africa,5,46,161,244,1851,47209633,0,1075
Ethiopia,Sub-Saharan Africa,3,3,67,230,487,3395408711,1,789
Fiji,East Asia & Pacific,5,66,177,169,1115,42750144,,2622
Finland,Europe & Central Asia,11,568,97,164,1334,304634302,73,4591
France,Europe & Central Asia,6,397,67,156,1460,3547785653,50,4519
Gabon,Sub-Saharan Africa,7,258,127,247,3037,65826740,2,3798
"Gambia, The",Sub-Saharan Africa,3,11,116,196,673,66357306,0,2305
Georgia,Europe & Central Asia,14,59,194,120,953,254565633,4,3201
Germany,Europe & Central Asia,10,290,62,91,833,4856295191,60,4520
Ghana,Sub-Saharan Africa,4,18,130,220,1176,991275232,1,2350
Greece,Europe & Central Asia,11,348,41,158,435,609935150,14,4288
Grenada,Latin America & Caribbean,8,86,324,130,640,6061966,,2068
Guatemala,Latin America & Caribbean,4,37,66,226,1222,586892189,1,2559
Guinea,Sub-Saharan Africa,4,11,85,151,1082,426200434,,1584
Guinea-Bissau,Sub-Saharan Africa,4,9,51,134,782,65895221,,1717
Guyana,Latin America & Caribbean,9,121,292,170,1593,44940750,,1754
Haiti,Latin America & Caribbean,2,9,31,89,850,441159449,,1924
Honduras,Latin America & Caribbean,8,39,137,226,1519,327144829,0,2462
Hungary,Europe & Central Asia,11,361,285,59,680,625742188,24,3939
